iter	Passed	Remaining
0	0	72
1	1	66
2	1	61
3	2	55
4	2	54
5	3	53
6	4	53
7	4	52
8	5	52
9	5	51
10	6	50
11	6	50
12	7	49
13	8	50
14	8	49
15	9	48
16	9	48
17	10	47
18	10	46
19	11	45
20	11	44
21	12	44
22	13	43
23	13	42
24	14	42
25	14	41
26	15	40
27	15	40
28	16	39
29	16	38
30	17	38
31	18	38
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	48	8
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	56	4
92	57	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	63	0
99	64	0
