iter	Passed	Remaining
0	146	145979
1	147	73762
2	148	49507
3	150	37360
4	151	30083
5	151	25173
6	152	21668
7	153	19046
8	154	17003
9	155	15365
10	156	14029
11	156	12903
12	157	11955
13	158	11142
14	158	10431
15	159	9809
16	160	9285
17	161	8800
18	161	8363
19	162	7971
20	163	7614
21	164	7290
22	164	7003
23	165	6737
24	166	6487
25	167	6256
26	167	6041
27	168	5840
28	168	5658
29	169	5487
30	170	5327
31	171	5175
32	171	5033
33	172	4900
34	173	4774
35	173	4654
36	175	4555
37	175	4455
38	176	4356
39	177	4265
40	178	4174
41	179	4088
42	179	4003
43	180	3922
44	181	3844
45	181	3771
46	182	3703
47	183	3638
48	184	3573
49	184	3510
50	185	3451
51	186	3393
52	186	3338
53	187	3284
54	188	3233
55	189	3193
56	190	3148
57	191	3104
58	191	3060
59	192	3017
60	193	2977
61	194	2936
62	194	2896
63	195	2857
64	196	2820
65	196	2784
66	197	2750
67	198	2716
68	198	2684
69	199	2651
70	200	2619
71	200	2588
72	201	2559
73	202	2530
74	202	2500
75	203	2472
76	204	2448
77	205	2424
78	205	2397
79	206	2372
80	206	2347
81	207	2323
82	207	2296
83	208	2273
84	209	2250
85	210	2232
86	210	2211
87	211	2190
88	212	2170
89	212	2149
90	213	2129
91	213	2110
92	214	2091
93	215	2072
94	215	2054
95	216	2036
96	216	2019
97	217	2001
98	218	1984
99	219	1973
100	220	1959
101	220	1944
102	221	1928
103	222	1913
104	222	1897
105	223	1883
106	224	1869
107	224	1855
108	225	1841
109	225	1828
110	226	1814
111	227	1801
112	227	1788
113	228	1776
114	229	1766
115	230	1754
116	230	1741
117	231	1730
118	232	1718
119	232	1707
120	233	1698
121	234	1688
122	235	1677
123	235	1666
124	236	1655
125	237	1645
126	237	1634
127	238	1625
128	239	1615
129	239	1605
130	240	1595
131	241	1585
132	241	1575
133	242	1565
134	242	1556
135	243	1546
136	244	1537
137	244	1528
138	245	1519
139	245	1510
140	246	1501
141	246	1491
142	247	1483
143	248	1474
144	249	1468
145	249	1461
146	250	1453
147	251	1445
148	251	1437
149	252	1431
150	253	1424
151	254	1417
152	254	1409
153	255	1402
154	255	1395
155	256	1388
156	257	1380
157	257	1373
158	258	1366
159	258	1359
160	259	1351
161	259	1344
162	260	1337
163	261	1331
164	261	1324
165	262	1318
166	263	1311
167	266	1322
168	267	1316
169	268	1310
170	268	1303
171	269	1297
172	270	1291
173	270	1285
174	271	1279
175	271	1273
176	272	1267
177	273	1261
178	273	1255
179	274	1249
180	274	1243
181	275	1237
182	275	1232
183	276	1226
184	277	1220
185	277	1214
186	278	1209
187	279	1205
188	279	1200
189	280	1195
190	281	1190
191	281	1185
192	282	1180
193	282	1175
194	283	1170
195	284	1165
196	284	1160
197	285	1155
198	285	1150
199	286	1145
200	286	1140
201	287	1135
202	288	1130
203	288	1126
204	289	1121
205	289	1116
206	290	1112
207	290	1107
208	291	1103
209	292	1098
210	292	1094
211	293	1090
212	294	1086
213	294	1082
214	295	1078
215	295	1074
216	296	1069
217	296	1065
218	297	1060
219	298	1056
220	298	1052
221	299	1048
222	299	1044
223	300	1040
224	300	1036
225	301	1032
226	302	1028
227	302	1024
228	303	1020
229	303	1016
230	304	1012
231	304	1008
232	305	1005
233	305	1001
234	306	997
235	306	993
236	307	989
237	307	986
238	309	984
239	310	982
240	310	978
241	311	975
242	312	972
243	312	968
244	313	965
245	313	961
246	314	958
247	314	954
248	315	951
249	315	947
250	316	944
251	317	941
252	317	938
253	318	935
254	318	931
255	319	928
256	320	925
257	320	922
258	321	918
259	321	915
260	322	912
261	322	909
262	323	907
263	324	904
264	325	901
265	325	898
266	326	895
267	326	892
268	327	889
269	327	886
270	328	883
271	329	880
272	329	877
273	330	874
274	330	871
275	331	868
276	331	865
277	332	862
278	332	860
279	333	857
280	334	854
281	334	851
282	335	849
283	335	846
284	336	843
285	336	840
286	337	838
287	338	835
288	338	833
289	339	831
290	340	829
291	340	826
292	341	823
293	342	821
294	342	819
295	343	816
296	344	814
297	344	811
298	345	809
299	345	806
300	346	804
301	346	801
302	347	799
303	348	796
304	348	794
305	349	791
306	349	789
307	350	786
308	350	784
309	351	781
310	351	779
311	352	777
312	353	774
313	353	773
314	354	771
315	355	769
316	355	766
317	356	764
318	357	762
319	357	760
320	358	758
321	358	755
322	359	753
323	360	751
324	360	749
325	361	746
326	361	744
327	362	742
328	362	740
329	363	738
330	364	735
331	364	733
332	365	731
333	365	729
334	366	727
335	367	725
336	367	723
337	368	722
338	369	720
339	370	718
340	370	716
341	371	714
342	372	712
343	372	710
344	373	708
345	373	706
346	374	704
347	374	702
348	375	700
349	376	698
350	376	696
351	377	694
352	377	692
353	378	690
354	378	688
355	379	686
356	379	683
357	380	682
358	381	680
359	381	678
360	382	677
361	383	675
362	383	673
363	384	671
364	385	669
365	385	668
366	386	666
367	386	664
368	387	662
369	387	660
370	388	658
371	388	656
372	389	654
373	390	653
374	390	651
375	391	649
376	391	647
377	392	645
378	392	643
379	393	641
380	394	640
381	394	638
382	395	636
383	395	634
384	396	633
385	397	631
386	397	629
387	398	627
388	399	626
389	399	625
390	400	623
391	400	621
392	401	620
393	402	618
394	402	616
395	403	614
396	403	613
397	404	611
398	404	609
399	405	608
400	405	606
401	406	604
402	407	602
403	407	601
404	408	599
405	408	598
406	409	596
407	409	594
408	410	592
409	410	591
410	411	589
411	412	588
412	412	586
413	413	584
414	414	584
415	415	582
416	415	581
417	416	579
418	416	577
419	417	576
420	417	574
421	418	573
422	419	571
423	419	570
424	420	568
425	420	566
426	421	565
427	421	563
428	422	562
429	423	560
430	423	559
431	424	557
432	424	556
433	425	554
434	425	553
435	426	551
436	427	550
437	427	548
438	428	547
439	429	546
440	430	545
441	430	543
442	431	542
443	431	540
444	432	539
445	433	538
446	433	536
447	434	535
448	435	534
449	435	532
450	436	531
451	437	529
452	437	528
453	438	527
454	438	525
455	439	524
456	440	522
457	440	521
458	441	520
459	441	518
460	442	517
461	442	515
462	443	514
463	444	513
464	445	512
465	445	510
466	446	509
467	447	508
468	447	506
469	448	505
470	449	504
471	449	503
472	450	501
473	450	500
474	451	498
475	451	497
476	452	496
477	452	494
478	453	493
479	454	491
480	454	490
481	455	489
482	455	487
483	456	486
484	456	485
485	457	483
486	457	482
487	458	481
488	459	480
489	460	478
490	460	477
491	461	476
492	461	474
493	462	473
494	463	472
495	463	471
496	464	469
497	464	468
498	465	467
499	466	466
500	466	464
501	467	463
502	468	462
503	468	461
504	469	460
505	470	458
506	470	457
507	471	456
508	471	455
509	472	453
510	472	452
511	473	451
512	474	450
513	475	449
514	476	448
515	476	447
516	477	445
517	477	444
518	478	443
519	479	442
520	479	441
521	480	440
522	481	439
523	482	437
524	482	436
525	483	435
526	483	434
527	484	433
528	484	431
529	485	430
530	486	429
531	486	428
532	487	426
533	487	425
534	488	424
535	490	424
536	490	423
537	491	421
538	491	420
539	492	419
540	493	418
541	494	417
542	494	416
543	495	415
544	496	414
545	496	413
546	497	412
547	498	411
548	499	410
549	499	408
550	500	407
551	501	406
552	501	405
553	502	404
554	502	403
555	503	402
556	504	401
557	505	400
558	505	399
559	506	397
560	507	396
561	507	395
562	508	394
563	508	393
564	509	392
565	509	390
566	510	389
567	511	388
568	511	387
569	512	386
570	512	385
571	513	384
572	514	383
573	514	382
574	515	380
575	515	379
576	516	378
577	517	377
578	517	376
579	518	375
580	519	374
581	520	373
582	520	372
583	521	371
584	522	370
585	522	369
586	523	368
587	524	367
588	524	366
589	525	365
590	526	364
591	527	363
592	527	362
593	528	361
594	529	360
595	530	359
596	530	358
597	531	357
598	532	356
599	533	355
600	534	354
601	535	353
602	535	352
603	536	351
604	537	350
605	537	349
606	538	348
607	539	347
608	539	346
609	540	345
610	541	344
611	541	343
612	542	342
613	543	341
614	543	340
615	544	339
616	545	338
617	545	337
618	546	336
619	547	335
620	548	334
621	549	333
622	550	332
623	550	331
624	551	330
625	552	329
626	552	328
627	553	328
628	554	326
629	554	325
630	555	324
631	556	323
632	556	322
633	557	321
634	558	320
635	558	319
636	559	318
637	560	317
638	560	316
639	561	315
640	561	314
641	562	313
642	563	312
643	563	311
644	564	310
645	565	309
646	566	308
647	566	307
648	567	306
649	567	305
650	568	304
651	569	303
652	569	302
653	570	301
654	571	300
655	571	299
656	572	298
657	572	297
658	573	296
659	574	295
660	574	294
661	575	293
662	575	292
663	576	291
664	577	290
665	577	289
666	578	288
667	579	287
668	580	287
669	580	286
670	581	285
671	582	284
672	582	283
673	583	282
674	583	281
675	584	280
676	585	279
677	585	278
678	586	277
679	586	276
680	587	275
681	588	274
682	588	273
683	589	272
684	590	271
685	590	270
686	591	269
687	592	268
688	592	267
689	593	266
690	594	265
691	594	264
692	595	263
693	596	262
694	597	261
695	597	261
696	598	260
697	598	259
698	599	258
699	599	257
700	600	256
701	601	255
702	601	254
703	602	253
704	603	252
705	603	251
706	604	250
707	605	249
708	605	248
709	606	247
710	606	246
711	607	245
712	608	244
713	608	243
714	609	242
715	610	242
716	611	241
717	611	240
718	612	239
719	613	238
720	613	237
721	614	236
722	614	235
723	615	234
724	616	233
725	616	232
726	617	231
727	618	230
728	618	229
729	619	229
730	619	228
731	620	227
732	621	226
733	621	225
734	623	224
735	624	223
736	625	223
737	626	222
738	626	221
